global_step,update,step_in_update,reward,action_noisy,action_mean,value
1,1,0,-0.3079724609851837,-0.5760421752929688,0.11817111074924469,-0.32537370920181274
2,1,1,-0.27346786856651306,-0.07696592807769775,0.09599874913692474,-0.31822478771209717
3,1,2,-0.07560817152261734,-0.6192725300788879,0.13830864429473877,-0.3252111077308655
4,1,3,-0.1246330663561821,-0.37611740827560425,0.10075230151414871,-0.3172942101955414
5,1,4,-0.6684054136276245,-0.07430092990398407,0.10250049829483032,-0.3250930905342102
6,1,5,-0.3169982135295868,0.37479227781295776,0.12255411595106125,-0.31926143169403076
7,1,6,0.1492806226015091,0.29047369956970215,0.14250557124614716,-0.3273334503173828
8,1,7,0.3719441592693329,0.10304617136716843,0.13965608179569244,-0.3241000175476074
9,1,8,0.0795140191912651,0.6377086043357849,0.11703696101903915,-0.3230751156806946
10,1,9,-0.2719959020614624,-0.1411791294813156,0.11209194362163544,-0.31979769468307495
11,1,10,-0.09222716093063354,-0.17826968431472778,0.12318228930234909,-0.32301270961761475
12,1,11,-0.054237257689237595,0.09492474794387817,0.12154051661491394,-0.32438045740127563
13,1,12,-0.18164582550525665,0.11741979420185089,0.1092042550444603,-0.3225548267364502
14,1,13,-0.1609126478433609,-0.2804272472858429,0.11151706427335739,-0.32230162620544434
15,1,14,-0.05275377631187439,0.5411396026611328,0.11681357026100159,-0.3185284733772278
16,1,15,0.17814381420612335,0.12748727202415466,0.1304902583360672,-0.3191567063331604
17,1,16,-0.0864601880311966,0.12362819910049438,0.11821193993091583,-0.3191816210746765
18,1,17,-0.4068898856639862,0.2293727993965149,0.10245762765407562,-0.3221287727355957
19,1,18,-0.33868128061294556,0.16674509644508362,0.10958658903837204,-0.32012587785720825
20,1,19,-0.2315441370010376,0.3431108891963959,0.11865407973527908,-0.3261110484600067
21,1,20,-0.27351102232933044,0.3067362904548645,0.11861573904752731,-0.3207849860191345
22,1,21,-0.4090159237384796,-0.2852054238319397,0.10602162033319473,-0.3268028497695923
23,1,22,-0.4279995262622833,0.15911278128623962,0.11075882613658905,-0.3219609260559082
24,1,23,-0.1415250301361084,-0.37146931886672974,0.11010229587554932,-0.3223028779029846
25,1,24,0.16789500415325165,-0.5851535797119141,0.1312200427055359,-0.321503221988678
26,1,25,0.0911121517419815,-0.3376474976539612,0.10870320349931717,-0.3129750192165375
27,1,26,-0.10958589613437653,0.006852997001260519,0.10376187413930893,-0.3189435601234436
28,1,27,0.08735878765583038,0.1516578495502472,0.12981392443180084,-0.3218061923980713
29,1,28,-0.023891184478998184,0.8469792604446411,0.1058996319770813,-0.3218156397342682
30,1,29,-0.018435783684253693,0.487252414226532,0.12492994964122772,-0.3207233250141144
